,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,sentiment
2,1.49736E+18,1.49736E+18,2022-02-25 23:58:57 GMT Standard Time,25/2/2022,23:58:57,0,1.47558E+18,alteregopunks_,Alter Ego Punks🎭🔺 Mint Is Live,,en,[],"['https://nftrade.com/assets/avalanche/0x3d1fc2045a031c3d9c848f3daccadad191ec6794/281', 'http://Alteregopunks.com']",['https://pbs.twimg.com/media/FMexcDfXsAEtl2O.png'],0,0,4,['avax'],[],https://twitter.com/Alteregopunks_/status/1497360501025783809,FALSE,,1,https://pbs.twimg.com/media/FMexcDfXsAEtl2O.png,,,,,,,[],,,,,🎭GC Punk #57 has been minted.  https://t.co/hSIGBmLtVQ  Where to mint a Alter Ego Punk?  https://t.co/ADxXkQcRZo   #AVAX  https://t.co/vHXOoSuSSy,0
4,1.49736E+18,1.49736E+18,2022-02-25 23:57:04 GMT Standard Time,25/2/2022,23:57:04,0,1.48971E+18,alpha_nodes,Alpha Nodes,,en,"[{'screen_name': 'alpha_nodes', 'name': 'alpha nodes', 'id': '1489705712431206400'}]",[],['https://pbs.twimg.com/media/FMew43WVQAAdQkC.jpg'],654,703,764,['avax'],"['alpha', 'alpha', 'alpha']",https://twitter.com/Alpha_Nodes/status/1497360025710313472,FALSE,,1,https://pbs.twimg.com/media/FMew43WVQAAdQkC.jpg,,,,,,,[],,,,,"🚨 $1500 USDC GIVEAWAY 🚨  In celebration of our amazing launch and excitement for our future plans, we are giving away $1,500 to our $ALPHA holders.   Follow @Alpha_Nodes, Like, Retweet and Tag 3 friends and hold $ALPHA.   Up for 72 Hrs.  10 Winners.  Stay tuned 👀  $ALPHA #AVAX  https://t.co/WbGrmYht7w",0
6,1.49736E+18,1.49736E+18,2022-02-25 23:55:00 GMT Standard Time,25/2/2022,23:55:00,0,1.46682E+18,chikn_sales,chikn sales,,en,"[{'screen_name': 'chikn_nft', 'name': 'chikn 🔺 // $egg //', 'id': '1457879822261047298'}]","['http://discord.gg/chikn', 'https://chikn.farm/chikn/6271', 'https://snowtrace.io/tx/0x78cdd796d19a4690626da42b338a6f4e04f44b950f41c436f7fe6995c4d3d210']",['https://pbs.twimg.com/media/FMewiTSWQAcKzdb.jpg'],1,0,3,['avax'],[],https://twitter.com/chikn_sales/status/1497359505390284805,FALSE,,1,https://pbs.twimg.com/media/FMewiTSWQAcKzdb.jpg,,,,,,,[],,,,,🐔 chikn No.6271 - rare - 15 kg - sold for 32.00 #AVAX! 🥚  Twitter: @chikn_nft Community Chat:  https://t.co/7uXXalYewy Marketplace Listing:  https://t.co/ll8ljUoWwH Transaction:  https://t.co/hhpsfHO5Xw  https://t.co/5kEnMfsS3K,0
16,1.49736E+18,1.49729E+18,2022-02-25 23:49:32 GMT Standard Time,25/2/2022,23:49:32,0,1.37192E+18,rickcoin1,Elan☠️🔺,,en,[],[],[],0,0,3,['avax'],[],https://twitter.com/Rickcoin1/status/1497358130300268552,FALSE,,0,,,,,,,,"[{'screen_name': 'John1wu', 'name': 'John Wu 🔺', 'id': '1020364389222793216'}, {'screen_name': 'avalabsofficial', 'name': 'Ava Labs 🔺', 'id': '1275068809699708931'}, {'screen_name': 'circlepay', 'name': 'Circle', 'id': '2151686839'}]",,,,,@John1wu @avalabsofficial @circlepay #AVAX is implementing new solutions in these difficult and uncertain times. This project stands firm in spite of all circumstances.,1
18,1.49736E+18,1.49736E+18,2022-02-25 23:49:15 GMT Standard Time,25/2/2022,23:49:15,0,1.49001E+18,ryunft_sales,RyuNFT_Sales,,en,[],"['https://snowtrace.io/tx/0x567d45c118d9df90555c8eff01c5c1154cb3fd551d5d7ee0f56dd1cadef7c090', 'https://marketplace.kalao.io/collection/0x2ca0507d72e3d30badea3d3b558103d192026251']",['https://pbs.twimg.com/media/FMevOAHXsAQQeGx.png'],0,0,0,['avax'],[],https://twitter.com/Ryunft_sales/status/1497358057411694592,FALSE,,1,https://pbs.twimg.com/media/FMevOAHXsAQQeGx.png,,,,,,,[],,,,,🐉 RYU#1165 sold for 3.34 #AVAX. 🐉   https://t.co/c4gHyTz95B  https://t.co/qvOR27vpPq  https://t.co/1yIrLOspy1,0
24,1.49736E+18,1.49723E+18,2022-02-25 23:45:47 GMT Standard Time,25/2/2022,23:45:47,0,1.37192E+18,rickcoin1,Elan☠️🔺,,en,[],[],[],0,0,5,['avax'],[],https://twitter.com/Rickcoin1/status/1497357186946764803,FALSE,,0,,,,,,,,"[{'screen_name': 'hung_kae', 'name': 'kae hung🔺', 'id': '1367997284420640774'}]",,,,,@hung_kae This is the beginning of a bullish cycle for #AVAX. We must not sell but become validators to secure our future in these unstable times.,1
25,1.49736E+18,1.49736E+18,2022-02-25 23:45:43 GMT Standard Time,25/2/2022,23:45:43,0,1.49126E+18,pizzagame_sales,Pizza Game Sales Tracker,,en,[],[],['https://pbs.twimg.com/media/FMeuadRXIAENce3.png'],0,0,0,['avax'],[],https://twitter.com/PizzaGame_Sales/status/1497357171776012291,FALSE,,1,https://pbs.twimg.com/media/FMeuadRXIAENce3.png,,,,,,,[],,,,,Pizza Chef #668 SOLD for 4.85 #AVAX  https://t.co/X9wQCpghD5,0
26,1.49736E+18,1.49736E+18,2022-02-25 23:45:35 GMT Standard Time,25/2/2022,23:45:35,0,1.49126E+18,pizzagame_sales,Pizza Game Sales Tracker,,en,[],[],['https://pbs.twimg.com/media/FMeuYTyWUAcEplk.png'],0,0,0,['avax'],[],https://twitter.com/PizzaGame_Sales/status/1497357135210065929,FALSE,,1,https://pbs.twimg.com/media/FMeuYTyWUAcEplk.png,,,,,,,[],,,,,Master Chef #405 SOLD for 22.0 #AVAX  https://t.co/KVvSsR1IDQ,0
43,1.49736E+18,1.49732E+18,2022-02-25 23:40:23 GMT Standard Time,25/2/2022,23:40:23,0,1.36827E+18,loefstop66,Mike( ͡◎ ͜ʖ ͡◎)🛸🔺,,en,[],[],[],0,0,2,['avax'],[],https://twitter.com/loefstop66/status/1497355827556065285,FALSE,,0,,,,,,,,"[{'screen_name': 'AVAXBot9000', 'name': 'AVAX Bot 9000 🤖🔺', 'id': '1317533009587863557'}, {'screen_name': 'avaxbossbulls', 'name': 'BOSS BULLS🔺🐂 SOLD OUT in 3 MINUTES', 'id': '1445348988174147589'}]",,,,,@AVAXBot9000 @avaxbossbulls The shingeki no kyojin characters would look great minted. You have incredible creativity and the rage of the series can't help but be minted in the #AVAX C-Chain. Think about it bro.,0
49,1.49736E+18,1.49732E+18,2022-02-25 23:38:10 GMT Standard Time,25/2/2022,23:38:10,0,1.46978E+18,stcryptofreak,Steve,,en,[],[],[],0,0,3,['avax'],[],https://twitter.com/Stcryptofreak/status/1497355269155655683,FALSE,,0,,,,,,,,"[{'screen_name': 'Gojo_Crypto', 'name': 'Gojo', 'id': '1396564126734848000'}]",,,,,"@Gojo_Crypto That's where #AVAX should be, and soon in the top #1. Wait for it 😉",1
