,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet_x,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet_y,sentiment
0,1419438250041782290,1419438250041782290,2021-07-26 07:23:45 China Standard Time,2021-07-26,07:23:45,800,1033761461699571712,cryptobull2020,CryptoBull,,"#XRP closing the week with a bullish green hammer. Hard to predict next week. If we get good news we could fly beyond ATH, otherwise I’d expect a slow grind up before the next explosion.  https://t.co/dHtaVGZ9jR",en,[],[],['https://pbs.twimg.com/media/E7LbkJUX0Ao1U-P.jpg'],4,9,111,['xrp'],[],https://twitter.com/CryptoBull2020/status/1419438250041782290,False,,1,https://pbs.twimg.com/media/E7LbkJUX0Ao1U-P.jpg,,,,,,,[],,,,,"#XRP closing the week with a bullish green hammer. Hard to predict next week. If we get good news we could fly beyond ATH, otherwise I’d expect a slow grind up before the next explosion.  https://t.co/dHtaVGZ9jR",0
1,1419431494293102593,1419431494293102593,2021-07-26 06:56:54 China Standard Time,2021-07-26,06:56:54,800,1114704535447060480,overflownexus,Onyekachi Nnabuaku,,What's The Move On #XRP Ichimoku Cloud Breakdown  https://t.co/Zt60ytcOwO,en,[],['https://youtu.be/NQIKcUYSPFU'],[],1,2,13,['xrp'],[],https://twitter.com/overflownexus/status/1419431494293102593,False,,0,,,,,,,,[],,,,,What's The Move On #XRP Ichimoku Cloud Breakdown  https://t.co/Zt60ytcOwO,0
2,1419419006977536000,1419419006977536000,2021-07-26 06:07:17 China Standard Time,2021-07-26,06:07:17,800,1131352246573195264,xrp_productions,XRPayPaayy,,Gigantic pump for #XRP tomorrow or I delete my Amazon Prime account. 🚀,en,[],[],[],73,31,561,['xrp'],[],https://twitter.com/XRP_Productions/status/1419419006977536000,False,,0,,,,,,,,[],,,,,Gigantic pump for #XRP tomorrow or I delete my Amazon Prime account. 🚀,0
3,1419412163970568192,1419412163970568192,2021-07-26 05:40:05 China Standard Time,2021-07-26,05:40:05,800,951914108370202624,thexrpbully,Bully,,The world knows what the answer is. #XRP,en,[],[],[],0,2,37,['xrp'],[],https://twitter.com/THEXRPBULLY/status/1419412163970568192,False,https://twitter.com/mariam44806790/status/1419324175936749570,0,,,,,,,,[],,,,,The world knows what the answer is. #XRP,1
4,1419396181701038081,1419396181701038081,2021-07-26 04:36:35 China Standard Time,2021-07-26,04:36:35,800,1383802058625609740,army_shiba,$SHIB Holder,,"#XRP CHART! 🔥  ⚡ If it breaks 0.62 resistance, next targets will be 0.63 &amp; 0.66  ⚡ 0.59 is the support zone!  https://t.co/okW4Kiazp7",en,[],[],['https://pbs.twimg.com/media/E7K1Td5XIAUDQFx.jpg'],9,4,32,['xrp'],[],https://twitter.com/army_shiba/status/1419396181701038081,False,https://twitter.com/army_shiba/status/1419352784869134344,1,https://pbs.twimg.com/media/E7K1Td5XIAUDQFx.jpg,,,,,,,[],,,,,"#XRP CHART! 🔥  ⚡ If it breaks 0.62 resistance, next targets will be 0.63 &amp; 0.66  ⚡ 0.59 is the support zone!  https://t.co/okW4Kiazp7",0
5,1419394446353997825,1419394446353997825,2021-07-26 04:29:41 China Standard Time,2021-07-26,04:29:41,800,1340704471656095748,sirrobartii1,🧂🇨🇭Robert Art🇨🇭🧂,,"I will be fren, I’ll make a video for my course explaining my exit plan on #XRP💚",en,[],[],[],5,2,27,['xrp'],[],https://twitter.com/SirRobArtII1/status/1419394446353997825,False,https://twitter.com/dangermousexrp/status/1419394130757754880,0,,,,,,,,[],,,,,"I will be fren, I’ll make a video for my course explaining my exit plan on #XRP💚",0
6,1419394131907026946,1419394131907026946,2021-07-26 04:28:26 China Standard Time,2021-07-26,04:28:26,800,1369272894715494408,kinandcountry,kinandcountry,,"A changing narrative in crypto suggests the market is  about to start its next leg up.  What?  All that stimulus had to go somewhere right?  RIP Fiat, it was good while it lasted.  Time to get some $KIN in the game.  Don't worry, it already beat #XRP to SEC clarity.",en,[],[],[],1,3,13,['xrp'],['kin'],https://twitter.com/kinandcountry/status/1419394131907026946,False,,0,,,,,,,,[],,,,,"A changing narrative in crypto suggests the market is  about to start its next leg up.  What?  All that stimulus had to go somewhere right?  RIP Fiat, it was good while it lasted.  Time to get some $KIN in the game.  Don't worry, it already beat #XRP to SEC clarity.",1
7,1419392399047073805,1419392399047073805,2021-07-26 04:21:33 China Standard Time,2021-07-26,04:21:33,800,1340704471656095748,sirrobartii1,🧂🇨🇭Robert Art🇨🇭🧂,,"The #XRP $7-$13 pump will be sudden, short lived and won’t be sustainable. Our longest pump period was like 14 days. Shortest was 2 days. It crashed hard every time thereafter. Prepare. Be mentally ready.💚",en,[],[],[],27,47,381,['xrp'],[],https://twitter.com/SirRobArtII1/status/1419392399047073805,False,,0,,,,,,,,[],,,,,"The #XRP $7-$13 pump will be sudden, short lived and won’t be sustainable. Our longest pump period was like 14 days. Shortest was 2 days. It crashed hard every time thereafter. Prepare. Be mentally ready.💚",0
8,1419390563925864460,1419390563925864460,2021-07-26 04:14:16 China Standard Time,2021-07-26,04:14:16,800,1340704471656095748,sirrobartii1,🧂🇨🇭Robert Art🇨🇭🧂,,"After hitting new highs and making us all plenty of money, yes. I honestly believe it’ll crash 80-90% from the top. It crashed 98% and then 77% before.❤️🚀 #XRP",en,[],[],[],4,6,39,['xrp'],[],https://twitter.com/SirRobArtII1/status/1419390563925864460,False,https://twitter.com/jayforchrist/status/1419390166603640833,0,,,,,,,,[],,,,,"After hitting new highs and making us all plenty of money, yes. I honestly believe it’ll crash 80-90% from the top. It crashed 98% and then 77% before.❤️🚀 #XRP",0
9,1419388256513318920,1419388256513318920,2021-07-26 04:05:05 China Standard Time,2021-07-26,04:05:05,800,1290041556716654592,chorusxapp,ChorusX,,#XRP  https://t.co/wx5xr6Umio,und,[],[],['https://pbs.twimg.com/media/E7KuE1GXsAI2B2o.jpg'],3,4,30,['xrp'],[],https://twitter.com/ChorusXapp/status/1419388256513318920,False,,1,https://pbs.twimg.com/media/E7KuE1GXsAI2B2o.jpg,,,,,,,[],,,,,#XRP  https://t.co/wx5xr6Umio,0
